"IP","MAC","Vendor","Port","URL","SYN_Result","TCP_Connect","HTTP_Status","Title","Server","Service"
"192.168.8.80","E0:AE:A2:6E:12:7A","Huawei Technologies","80","http://192.168.8.80/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.82","E0:AE:A2:6D:EF:6A","Huawei Technologies","80","http://192.168.8.82/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.84","E0:AE:A2:6D:B4:FA","Huawei Technologies","80","http://192.168.8.84/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.86","E0:AE:A2:6D:B7:A2","Huawei Technologies","80","http://192.168.8.86/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.90","E0:AE:A2:6D:CF:13","Huawei Technologies","80","http://192.168.8.90/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.93","E0:AE:A2:6D:B9:8F","Huawei Technologies","80","http://192.168.8.93/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.95","E0:AE:A2:6E:1D:B3","Huawei Technologies","80","http://192.168.8.95/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.97","E0:AE:A2:6E:15:22","Huawei Technologies","80","http://192.168.8.97/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.98","E0:AE:A2:6E:09:A5","Huawei Technologies","80","http://192.168.8.98/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.101","E0:AE:A2:6E:40:2A","Huawei Technologies","80","http://192.168.8.101/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.103","E0:AE:A2:6E:2D:2C","Huawei Technologies","80","http://192.168.8.103/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.105","E0:AE:A2:6E:37:77","Huawei Technologies","80","http://192.168.8.105/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.107","E0:AE:A2:6E:23:14","Huawei Technologies","80","http://192.168.8.107/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.109","E0:AE:A2:6D:C0:99","Huawei Technologies","80","http://192.168.8.109/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.112","E0:AE:A2:6D:ED:F4","Huawei Technologies","80","http://192.168.8.112/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.113","E0:AE:A2:6E:4B:1F","Huawei Technologies","80","http://192.168.8.113/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.115","E0:AE:A2:6D:B3:D9","Huawei Technologies","80","http://192.168.8.115/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.118","E0:AE:A2:6E:1E:F6","Huawei Technologies","80","http://192.168.8.118/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.120","E0:AE:A2:6E:47:9A","Huawei Technologies","80","http://192.168.8.120/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.122","E0:AE:A2:6E:23:9C","Huawei Technologies","80","http://192.168.8.122/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.123","E0:AE:A2:6D:B4:2E","Huawei Technologies","80","http://192.168.8.123/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.124","E0:AE:A2:6E:1D:D5","Huawei Technologies","80","http://192.168.8.124/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.127","E0:AE:A2:6E:48:66","Huawei Technologies","80","http://192.168.8.127/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.128","E0:AE:A2:6E:4B:30","Huawei Technologies","80","http://192.168.8.128/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.129","E0:AE:A2:6E:1F:8F","Huawei Technologies","80","http://192.168.8.129/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
